roll no,Name,Chemistry,Physics,Math
101,Aliza,50,23,87
102,Fareed,45,24,88
103,Basit,46,25,89
104,Abdullah,47,26,90
105,Ali,48,27,67
106,Mubashir,49,28,68
107,Waleed,50,29,69
108,Mansoor,51,30,70
109,Zain,52,31,71
110,Mohsin,53,67,7
111,Shahmeer,54,68,7
112,Rao,55,69,7
113,Aurangzeb,56,70,7
114,Zeeshan,57,71,7
115,Hamna,58,72,7
116,Hamza,59,73,7
117,Khalid,60,74,7
118,Behroz,61,75,8
119,Justin,62,76,8
120,Danish,63,77,8
121,Kainat,64,78,8
122,Sameer,65,79,8
123,Raza,66,80,8
124,Kumar,67,81,8
125,Komal,68,82,8
126,Erum,69,83,8
127,Faiza,70,84,8
128,Saeed,71,85,9
129,Waqar,72,86,9
130,Wali,73,87,9
131,Wajid,74,88,9
132,Waseeb,75,89,9
133,Shiza,76,90,9
134,Shabina,77,91,9
135,Shazain,78,55,97
136,Lubna,79,61,98
137,Laiba,80,88,7
138,Khursheed,81,56,45
139,Ali,82,89,46
140,Aiza,83,45,89
141,Aiman,84,92,78
142,Yasmeen,85,36,5
143,Tasbeel,86,78,78
144,Laraib,87,56,54
145,Saleem,88,78,78
146,Bismil,89,89,46
147,Batool,90,56,7
148,Iqra,91,33,46
149,Zarnish,92,78,45
150,Zara,83,45,56
