roll no,Name,Chemistry,Physics,Math,percentage,grade
101,Aliza,50,23,87,53.33,D
102,Fareed,45,24,88,52.33,D
103,Basit,46,25,89,53.33,D
104,Abdullah,47,26,90,54.33,D
105,Ali,48,27,67,47.33,F
106,Mubashir,49,28,68,48.33,F
107,Waleed,50,29,69,49.33,F
108,Mansoor,51,30,70,50.33,D
109,Zain,52,31,71,51.33,D
110,Mohsin,53,67,7,42.33,F
111,Shahmeer,54,68,7,43.0,F
112,Rao,55,69,7,43.67,F
113,Aurangzeb,56,70,7,44.33,F
114,Zeeshan,57,71,7,45.0,F
115,Hamna,58,72,7,45.67,F
116,Hamza,59,73,7,46.33,F
117,Khalid,60,74,7,47.0,F
118,Behroz,61,75,8,48.0,F
119,Justin,62,76,8,48.67,F
120,Danish,63,77,8,49.33,F
121,Kainat,64,78,8,50.0,D
122,Sameer,65,79,8,50.67,D
123,Raza,66,80,8,51.33,D
124,Kumar,67,81,8,52.0,D
125,Komal,68,82,8,52.67,D
126,Erum,69,83,8,53.33,D
127,Faiza,70,84,8,54.0,D
128,Saeed,71,85,9,55.0,D
129,Waqar,72,86,9,55.67,D
130,Wali,73,87,9,56.33,D
131,Wajid,74,88,9,57.0,D
132,Waseeb,75,89,9,57.67,D
133,Shiza,76,90,9,58.33,D
134,Shabina,77,91,9,59.0,D
135,Shazain,78,55,97,76.67,B
136,Lubna,79,61,98,79.33,F
137,Laiba,80,88,7,58.33,D
138,Khursheed,81,56,45,60.67,C
139,Ali,82,89,46,72.33,B
140,Aiza,83,45,89,72.33,B
141,Aiman,84,92,78,84.67,A
142,Yasmeen,85,36,5,42.0,F
143,Tasbeel,86,78,78,80.67,A
144,Laraib,87,56,54,65.67,C
145,Saleem,88,78,78,81.33,A
146,Bismil,89,89,46,74.67,B
147,Batool,90,56,7,51.0,D
148,Iqra,91,33,46,56.67,D
149,Zarnish,92,78,45,71.67,B
150,Zara,83,45,56,61.33,C
